rank,symbol,close,high_252,retracement_pct,ema_200,ret_252,vol_252,volar_score,rs_ratio,rs_ema_200,filter1_pass,filter2_pass,filter3_pass,is_qualified
606,NFL,70.3,101.34,-30.63,77.7,-22.45,30.41,-0.7382,0.002899,0.003183,False,False,False,False
607,CHAMBLFERT,431.15,566.87,-23.94,456.21,-19.68,26.53,-0.7415,0.017778,0.018724,False,False,False,False
608,THOMASCOOK,112.66,180.73,-37.66,113.12,-31.88,42.96,-0.7421,0.004645,0.004624,False,False,True,False
609,VIPIND,308.35,454.3,-32.13,331.28,-27.5,36.76,-0.7481,0.012714,0.013563,False,False,False,False
610,ICICIPRULI,515.0,704.36,-26.88,547.3,-18.42,24.54,-0.7504,0.021235,0.022407,False,False,False,False
611,BBTC,1427.4,2114.67,-32.5,1600.25,-22.61,30.1,-0.7512,0.058857,0.065526,False,False,False,False
612,NEWGEN,522.7,1030.41,-49.27,583.52,-39.59,52.68,-0.7515,0.021553,0.023807,False,False,False,False
613,IREDA,115.0,162.49,-29.23,128.79,-22.36,29.7,-0.7529,0.004742,0.005279,False,False,False,False
614,SAFARI,1496.8,2504.02,-40.22,1714.57,-27.0,35.77,-0.7549,0.061719,0.070098,False,False,False,False
615,SUPREMEIND,3642.0,4618.78,-21.15,3597.8,-20.0,26.11,-0.766,0.150173,0.147629,False,True,True,False
616,ABFRL,54.35,94.95,-42.76,68.43,-29.58,38.59,-0.7666,0.002241,0.002807,False,False,False,False
617,SIGNATURE,795.3,1158.0,-31.32,883.75,-27.72,35.99,-0.7701,0.032793,0.036152,False,False,False,False
618,SBICARD,649.0,961.63,-32.51,697.44,-20.59,26.55,-0.7754,0.026761,0.028531,False,False,False,False
619,JAIBALAJI,63.57,108.0,-41.14,72.69,-38.84,50.05,-0.7761,0.002621,0.002981,False,False,False,False
620,CROMPTON,252.0,333.49,-24.44,265.07,-22.6,29.06,-0.7779,0.010391,0.010879,False,False,False,False
621,INDIASHLTR,675.25,956.14,-29.38,771.64,-25.49,31.89,-0.7992,0.027843,0.031645,False,False,False,False
622,CYIENT,892.65,1267.74,-29.59,949.56,-25.19,31.48,-0.8001,0.036807,0.038858,False,False,False,False
623,DBREALTY,106.08,184.8,-42.6,120.78,-41.0,51.18,-0.8012,0.004374,0.004946,False,False,False,False
624,TECHNOE,987.45,1565.32,-36.92,1113.78,-31.46,39.25,-0.8015,0.040716,0.045677,False,False,False,False
625,GHCL,442.4,649.68,-31.91,475.23,-21.8,27.14,-0.8034,0.018242,0.019458,False,False,False,False
626,APTUS,257.75,353.01,-26.99,268.95,-26.25,32.46,-0.8086,0.010628,0.011026,False,False,False,False
627,HAVELLS,1268.0,1608.14,-21.15,1290.43,-18.58,22.97,-0.809,0.052284,0.05287,False,False,False,False
628,ACI,497.85,722.59,-31.1,558.49,-25.93,31.86,-0.8141,0.020528,0.022919,False,False,False,False
629,GODREJAGRO,574.55,755.03,-23.9,583.07,-23.04,28.2,-0.817,0.023691,0.023921,False,False,False,False
630,KSCL,760.1,1218.71,-37.63,902.22,-29.14,35.48,-0.8212,0.031342,0.036991,False,False,False,False
631,MANYAVAR,544.15,788.14,-30.96,482.49,-28.24,34.33,-0.8227,0.022437,0.019723,False,True,True,False
632,SWIGGY,282.5,474.0,-40.4,298.47,-31.05,37.52,-0.8274,0.011649,0.012199,False,False,False,False
633,GODREJCP,933.0,1284.14,-27.34,1071.61,-21.96,26.41,-0.8316,0.038471,0.043917,False,False,False,False
634,GSFC,158.23,215.43,-26.55,169.11,-23.15,27.37,-0.8457,0.006524,0.006932,False,False,False,False
635,LEMONTREE,108.33,180.68,-40.04,122.53,-27.2,32.13,-0.8464,0.004467,0.005012,False,False,False,False
636,SWANCORP,303.7,505.75,-39.95,353.76,-30.3,35.49,-0.854,0.012523,0.014465,False,False,False,False
637,NUVOCO,322.05,477.5,-32.55,336.11,-29.61,34.46,-0.8592,0.013279,0.013771,False,False,False,False
638,MASTEK,1705.2,2597.96,-34.36,1808.07,-32.13,37.13,-0.8652,0.070312,0.073984,False,False,False,False
