rank,symbol,close,high_252,retracement_pct,ema_200,ret_252,vol_252,volar_score,rs_ratio,rs_ema_200,filter1_pass,filter2_pass,filter3_pass,is_qualified
353,CHALET,901.2,1068.92,-15.69,831.09,-10.42,28.23,-0.3691,0.037408,0.034072,True,True,True,True
354,POLYMED,1733.0,2136.76,-18.9,1647.61,-16.29,42.71,-0.3814,0.071936,0.067533,True,True,True,True
355,BAJAJHLDNG,11340.0,13642.17,-16.88,10883.85,-11.23,27.95,-0.4018,0.470718,0.446223,True,True,True,True
356,MPHASIS,2455.0,2957.9,-17.0,2380.84,-12.26,29.57,-0.4148,0.101906,0.097535,True,True,True,True
357,CIPLA,1423.5,1657.45,-14.12,1404.47,-9.05,20.87,-0.4336,0.059089,0.057622,True,True,True,True
358,APLLTD,813.45,983.37,-17.28,795.09,-11.85,26.38,-0.4492,0.033766,0.032595,True,True,True,True
359,INDIGO,5166.0,6101.5,-15.33,5006.43,-15.53,33.7,-0.4609,0.214438,0.205206,True,True,True,True
360,GODREJAGRO,609.3,745.51,-18.27,584.12,-15.84,29.07,-0.5448,0.025292,0.023972,True,True,True,True
361,KIRLOSENG,2123.1,2714.26,-21.78,1732.33,118.22,46.37,2.5497,0.088129,0.071412,False,True,True,False
362,THANGAMAYL,5440.5,7430.0,-26.78,4501.33,145.31,59.84,2.4282,0.225833,0.185507,False,True,True,False
363,HINDCOPPER,533.55,758.83,-29.69,492.31,132.35,55.86,2.3692,0.022147,0.020244,False,True,True,False
364,BSE,3405.0,4435.12,-23.23,3331.07,54.09,37.43,1.445,0.14134,0.137159,False,True,True,False
365,BBOX,745.9,1101.51,-32.28,718.72,63.15,44.28,1.4262,0.030962,0.029628,False,True,True,False
366,GVT&D,4339.2,5636.05,-23.01,4024.34,61.7,43.41,1.4214,0.180118,0.16582,False,True,True,False
367,CEMPRO,1268.1,1649.2,-23.11,1022.35,75.26,52.97,1.4209,0.052638,0.042071,False,True,True,False
368,GESHIP,1339.6,1766.73,-24.18,1314.56,45.87,34.73,1.3207,0.055606,0.054127,False,True,True,False
369,J&KBANK,150.01,201.75,-25.65,137.49,48.52,40.56,1.1965,0.006227,0.005662,False,True,True,False
370,TATASTEEL,186.5,219.87,-15.18,188.27,22.78,25.9,0.8794,0.007742,0.007739,True,False,True,False
371,CANBK,128.35,157.69,-18.61,129.65,25.07,28.73,0.8727,0.005328,0.005318,True,False,True,False
372,AXISBANK,1265.0,1417.21,-10.74,1269.23,20.56,23.89,0.8606,0.05251,0.052114,True,False,True,False
373,SANDUMA,205.45,272.33,-24.56,204.67,44.15,51.36,0.8595,0.008528,0.008401,False,True,True,False
374,SCHNEIDER,1201.9,1548.0,-22.36,1118.64,39.76,48.52,0.8194,0.04989,0.0461,False,True,True,False
375,SPARC,207.71,289.0,-28.13,181.63,45.67,56.77,0.8045,0.008622,0.007478,False,True,True,False
376,RAIN,199.31,250.82,-20.54,170.41,42.47,53.23,0.7979,0.008273,0.007009,False,True,True,False
377,GMDCLTD,567.65,771.9,-26.46,582.19,41.17,51.64,0.7973,0.023563,0.023928,False,False,False,False
378,MRPL,168.53,212.0,-20.5,162.59,38.83,49.01,0.7924,0.006996,0.006679,False,True,True,False
379,LUPIN,2171.5,2523.7,-13.96,2247.72,13.65,19.74,0.6913,0.090138,0.092391,True,False,False,False
380,COALINDIA,401.0,484.77,-17.28,419.57,13.54,22.29,0.6076,0.016645,0.017254,True,False,False,False
