rank,symbol,sector,close,high_252,distance_52wh_pct,ema_200,ema_200_ratio,ret_252,vol_252,volar_score,volume,is_delisted,filter1_pass,filter2_pass,filter3_pass,is_qualified,rrg_rs_ratio,rrg_rs_momentum,rrg_quadrant,passed_rrg
588,SAFARI,CONSDUR,1509.7,2504.02,-39.71,1703.74,0.8861,-24.88,35.79,-0.6952,12818.0,False,False,False,False,False,96.97,102.08,IMPROVING,True
589,APTUS,FINSERV,256.15,347.6,-26.31,268.27,0.9548,-22.55,32.34,-0.6972,324345.0,False,False,False,False,False,94.53,101.18,IMPROVING,True
590,SAMHI,CONSDUR,156.01,222.0,-29.73,170.51,0.915,-25.05,35.87,-0.6984,679031.0,False,False,False,False,False,91.74,99.21,LAGGING,True
591,GHCL,CHEMICALS,441.45,649.68,-32.05,473.38,0.9325,-18.97,27.03,-0.702,62705.0,False,False,False,False,False,101.82,100.73,LEADING,True
592,GSFC,CHEMICALS,157.97,215.43,-26.67,168.6,0.937,-19.05,26.97,-0.7064,729308.0,False,False,False,False,False,98.98,99.79,LAGGING,True
593,JMFINANCIL,FINSERV,129.29,190.77,-32.23,131.05,0.9866,-28.99,40.96,-0.7077,2233306.0,False,False,False,False,False,102.83,100.36,LEADING,True
594,TARC,REALTY,117.9,186.3,-36.71,135.88,0.8677,-29.65,41.47,-0.7149,325384.0,False,False,False,False,False,94.13,98.55,LAGGING,True
595,DBREALTY,REALTY,107.37,184.8,-41.9,120.06,0.8943,-36.58,51.05,-0.7166,1049285.0,False,False,False,False,False,95.63,102.39,IMPROVING,True
596,ICICIPRULI,FINSERV,506.0,704.36,-28.16,545.44,0.9277,-17.61,24.5,-0.7188,1603027.0,False,False,False,False,False,101.04,99.99,WEAKENING,True
597,JUBLFOOD,CONSDUR,490.45,665.86,-26.34,489.13,1.0027,-23.25,31.96,-0.7273,1153110.0,False,False,True,True,False,108.61,96.2,WEAKENING,True
598,PRSMJOHNSN,REALTY,111.18,176.0,-36.83,122.69,0.9062,-25.59,34.98,-0.7316,298381.0,False,False,False,False,False,100.34,103.58,LEADING,True
599,VIPIND,CONSDUR,305.8,454.3,-32.69,329.94,0.9268,-27.32,37.0,-0.7384,365257.0,False,False,False,False,False,100.92,101.03,LEADING,True
600,LATENTVIEW,IT,279.6,517.5,-45.97,331.61,0.8432,-34.2,46.14,-0.7412,539539.0,False,False,False,False,False,95.8,101.52,IMPROVING,True
601,BLS,CONSDUR,239.03,372.3,-35.8,274.84,0.8697,-35.17,47.42,-0.7417,890636.0,False,False,False,False,False,96.29,94.6,LAGGING,True
602,HAPPSTMNDS,IT,408.0,574.71,-29.01,407.69,1.0008,-28.79,38.36,-0.7504,3267707.0,False,False,True,True,False,107.03,94.12,WEAKENING,True
603,INFY,IT,1144.0,1691.4,-32.36,1236.26,0.9254,-22.42,29.78,-0.753,9621969.0,False,False,False,False,False,104.43,101.95,LEADING,True
604,STYRENIX,CHEMICALS,2020.8,2678.51,-24.56,2213.34,0.913,-23.14,30.72,-0.7533,44371.0,False,False,False,False,False,89.42,97.6,LAGGING,True
605,SUPREMEIND,CAPGOODS,3636.9,4596.8,-20.88,3597.44,1.011,-19.7,26.15,-0.7535,269330.0,False,False,True,True,False,106.19,101.15,LEADING,True
606,COLPAL,FMCG,1826.9,2448.35,-25.38,2064.89,0.8847,-18.2,23.81,-0.7643,283459.0,False,False,False,False,False,91.24,98.32,LAGGING,True
607,IXIGO,CONSDUR,163.36,339.15,-51.83,194.51,0.8399,-42.58,55.59,-0.7661,879086.0,False,False,False,False,False,86.04,98.28,LAGGING,True
608,INTELLECT,IT,679.7,1232.73,-44.86,773.85,0.8783,-30.2,39.0,-0.7743,395222.0,False,False,False,False,False,94.05,100.41,IMPROVING,True
609,HEXT,IT,555.7,806.97,-31.14,565.33,0.983,-30.85,39.78,-0.7754,188517.0,False,False,False,False,False,101.46,100.13,LEADING,True
610,AWL,FMCG,196.27,281.43,-30.26,203.61,0.964,-21.69,27.88,-0.7781,1135382.0,False,False,False,False,False,103.91,101.33,LEADING,True
