date,portfolio_value,cash_balance,invested_capital,benchmark_value,drawdown,active_positions
2022-06-06,28300926.6409564,-10520.355892657302,28311446.99684906,16569.55078125,-14.357385221569318,20
2022-06-07,28445548.31507826,-10520.355892657302,28456068.670970917,16416.349609375,-13.919739540119958,20
2022-06-08,28322240.646369457,-10520.355892657302,28332761.002262115,16356.25,-14.292886020602024,20
2022-06-09,28467984.799895763,-10520.355892657302,28478505.15578842,16478.099609375,-13.85184355739878,20
2022-06-10,28138625.39798689,-10520.355892657302,28149145.753879547,16201.7998046875,-14.848531783872442,20
2022-06-13,27063543.281505108,-10520.355892657302,27074063.637397766,15774.400390625,-18.101882627296185,20
2022-06-14,27151460.85000944,-10520.355892657302,27161981.2059021,15732.099609375,-17.835831605462282,20
2022-06-15,27288669.22278166,-10520.355892657302,27299189.578674316,15692.150390625,-17.420619624498357,20
2022-06-16,26344052.06249571,-10520.355892657302,26354572.418388367,15360.599609375,-20.27916502118473,20
2022-06-17,26093810.694850445,-10520.355892657302,26104331.050743103,15293.5,-21.036430863493095,20
2022-06-20,24676498.51294279,-10520.355892657302,24687018.86883545,15350.150390625,-25.325418385203168,20
2022-06-21,25734254.045478344,-10520.355892657302,25744774.401371002,15638.7998046875,-22.124500240296985,20
2022-06-22,25449331.91481352,-10520.355892657302,25459852.270706177,15413.2998046875,-22.986714986405833,20
2022-06-23,25817141.063750744,-10520.355892657302,25827661.419643402,15556.650390625,-21.873672376386587,20
2022-06-24,26253089.190211773,-10520.355892657302,26263609.54610443,15699.25,-20.554431563831386,20
2022-06-27,26611048.526744366,-10520.355892657302,26621568.882637024,15832.0498046875,-19.47119588204851,20
2022-06-28,26727507.396869183,-10520.355892657302,26738027.75276184,15850.2001953125,-19.11877483668256,20
2022-06-29,26717701.362330914,-10520.355892657302,26728221.71822357,15799.099609375,-19.14844928689118,20
2022-06-30,26544426.333446026,-10520.355892657302,26554946.689338684,15780.25,-19.672804080561935,20
2022-07-01,26564279.47589395,9538085.265406583,17026194.210487366,15752.0498046875,-19.61272565795834,11
2022-07-04,26641771.16891,9538085.265406583,17103685.903503418,15835.349609375,-19.378224812890675,11
2022-07-05,26741578.901194546,9538085.265406583,17203493.635787964,15810.849609375,-19.07619247040251,11
