symbol,buy_date,buy_price,sell_date,sell_price,shares,cost_basis,net_pnl,return_pct,holding_days,exit_reason,total_friction
MCX,2025-02-03,1134.02,2025-03-04,918.33,3050,3458760.28,-667995.8,-19.31,29,r2_exit,10138.91
DOMS,2025-02-03,2495.33,2025-03-04,2314.92,1386,3458520.66,-261077.38,-7.55,29,r2_exit,11035.71
BLUEJET,2025-02-03,757.43,2025-05-05,748.23,4567,3459162.17,-53476.36,-1.55,91,r2_exit,11495.8
BLUESTARCO,2025-02-03,1982.71,2025-05-05,1658.78,1744,3457838.38,-575264.46,-16.64,91,r2_exit,10340.37
TARIL,2025-04-02,509.7,2025-05-05,494.8,6472,3298765.32,-107263.09,-3.25,33,r2_exit,10838.64
WOCKPHARMA,2025-04-02,1463.21,2025-05-05,1305.69,2254,3298079.28,-365314.38,-11.08,33,r2_exit,10267.11
NAVA,2025-04-02,518.48,2025-05-05,446.84,6363,3299080.24,-465912.19,-14.12,33,r2_exit,10048.57
GALLANTT,2025-04-02,413.79,2025-05-05,432.8,7973,3299107.85,140247.82,4.25,33,rank_exit,11385.76
AEGISLOG,2025-04-02,772.08,2025-05-05,761.05,4273,3299100.61,-58084.71,-1.76,33,rank_exit,10948.25
TIMETECHNO,2025-04-02,215.53,2025-05-05,169.44,15307,3299136.64,-715062.62,-21.67,33,r2_exit,9499.17
AMBER,2025-04-02,6906.9,2025-05-05,6213.28,477,3294591.3,-341165.17,-10.36,33,r2_exit,10308.67
SARDAEN,2025-02-03,456.61,2025-06-03,436.63,7576,3459253.12,-162562.83,-4.7,120,r2_exit,11255.48
PGEL,2025-04-02,902.2,2025-06-03,793.86,3656,3298457.86,-406301.72,-12.32,62,r2_exit,10177.97
DIXON,2025-05-05,16478.14,2025-06-03,14658.8,185,3048455.03,-346049.13,-11.35,29,r2_exit,9471.52
COHANCE,2025-05-05,1151.15,2025-06-03,1033.67,2651,3051698.65,-320989.76,-10.52,29,r2_exit,9537.69
CHAMBLFERT,2025-05-05,677.11,2025-06-03,539.2,4507,3051713.6,-630389.08,-20.66,29,r2_exit,8855.25
COROMANDEL,2025-04-02,2033.34,2025-07-02,2305.33,1622,3298070.14,429159.62,13.01,91,rank_exit,12019.58
BHARTIHEXA,2025-05-05,1693.65,2025-07-02,1955.4,1801,3050267.37,460160.22,15.09,58,rank_exit,11255.99
POWERINDIA,2025-05-05,14981.05,2025-07-02,19360.37,203,3041153.26,876857.44,28.83,58,rank_exit,12144.56
ZENTEC,2025-06-03,2136.01,2025-07-02,1972.31,1315,2808849.84,-224200.71,-7.98,29,r2_exit,8935.85
FSL,2025-02-03,322.68,2025-08-04,331.43,10720,3459165.47,81942.51,2.37,182,r3_exit,11794.53
MAZDOCK,2025-04-02,2564.05,2025-08-04,2675.79,1286,3297372.05,132327.19,4.01,124,r2_exit,11362.46
RPOWER,2025-06-03,62.04,2025-08-04,47.53,45288,2809757.17,-665075.24,-23.67,62,r2_exit,7966.39
BLUEJET,2025-06-03,917.0,2025-08-04,801.79,3064,2809701.54,-361666.37,-12.87,62,r2_exit,8635.48
KFINTECH,2025-07-02,1309.62,2025-08-04,1079.36,2622,3433812.08,-613908.38,-17.88,33,r2_exit,10174.46
BSE,2025-04-02,1814.31,2025-09-02,2182.06,1818,3298408.1,656057.88,19.89,153,r2_exit,12521.22
DEEPAKFERT,2025-05-05,1249.43,2025-09-02,1390.81,2442,3051119.89,334261.46,10.96,120,rank_exit,10981.14
WOCKPHARMA,2025-06-03,1471.47,2025-09-02,1419.08,1909,2809036.23,-109203.61,-3.89,91,r2_exit,9190.15
LTFOODS,2025-06-03,441.32,2025-09-02,431.43,6366,2809451.96,-72248.14,-2.57,91,rank_exit,9273.06
LLOYDSME,2025-04-02,1278.36,2025-10-03,1239.52,2580,3298165.99,-111038.59,-3.37,184,r2_exit,10828.3
MCX,2025-07-02,1804.48,2025-10-03,1602.07,1903,3433932.94,-395855.45,-11.53,93,rank_exit,10655.86
JMFINANCIL,2025-07-02,155.36,2025-10-03,160.08,22110,3435061.38,92556.47,2.69,93,rank_exit,11737.01
SARDAEN,2025-07-02,434.28,2025-10-03,550.24,7909,3434691.46,903601.06,26.31,93,rank_exit,13524.82
PARADEEP,2025-05-05,145.2,2025-11-04,168.03,21017,3051680.56,468564.44,15.35,183,r2_exit,11279.27
CHOICEIN,2024-12-03,535.94,2025-12-02,793.66,6981,3741365.2,1782650.78,47.65,364,rank_exit,16493.5
GODFRYPHLP,2025-04-02,2341.72,2025-12-02,2791.83,1408,3297143.81,621307.77,18.84,244,r2_exit,12440.32
GABRIEL,2025-11-04,1281.32,2025-12-02,1041.6,2497,3199443.71,-607968.78,-19.0,28,r2_exit,9400.69
HBLENGINE,2025-11-04,988.44,2025-12-02,867.24,3237,3199577.14,-402171.65,-12.57,28,r2_exit,9855.1
SYRMA,2025-11-04,791.83,2025-12-02,811.36,4041,3199792.58,68008.2,2.13,28,rank_exit,10892.97
PAYTM,2025-05-05,839.84,2026-01-02,1290.71,3633,3051135.09,1624180.51,53.23,242,rank_exit,13826.56
ABDL,2025-11-04,682.28,2026-01-02,595.59,4690,3199892.57,-416392.91,-13.01,59,rank_exit,9824.79
BSE,2025-11-04,2550.83,2026-01-02,2629.43,1254,3198746.81,87630.18,2.74,59,rank_exit,10932.75
SAGILITY,2025-11-04,52.4,2026-01-02,51.85,61075,3200330.04,-44285.86,-1.38,59,rank_exit,10647.07
POWERINDIA,2025-12-02,22106.81,2026-01-02,18576.96,163,3603410.33,-586170.15,-16.27,31,rank_exit,10805.05
CEMPRO,2025-12-02,862.86,2026-01-02,769.76,4191,3616229.91,-401431.39,-11.1,31,rank_exit,11255.6
CARTRADE,2025-02-03,1751.75,2026-02-03,2641.96,1974,3457954.5,1741813.75,50.37,365,r2_exit,15451.9
AIIL,2025-05-05,366.62,2026-02-03,544.55,8324,3051752.93,1467638.53,48.09,274,r2_exit,13483.33
ATHERENERG,2025-11-04,691.69,2026-02-03,653.35,4626,3199762.57,-187712.76,-5.87,91,r2_exit,10328.79
MANAPPURAM,2025-11-04,266.24,2026-02-03,287.93,12020,3200154.32,249512.44,7.8,91,rank_exit,11294.56
NAVINFLUOR,2025-11-04,5862.04,2026-02-03,6385.92,545,3194810.11,274183.74,8.58,91,rank_exit,11331.04
MUTHOOTFIN,2025-12-02,3771.91,2026-03-04,3367.23,958,3613486.65,-398932.73,-11.04,92,rank_exit,11251.9
HINDCOPPER,2026-01-02,529.68,2026-03-04,569.98,6341,3358705.75,243719.76,7.26,61,r2_exit,11814.1
LTF,2025-11-04,277.47,2026-04-02,237.42,11533,3200099.0,-471689.2,-14.74,149,r2_exit,9703.51
ABCAPITAL,2025-12-02,356.46,2026-04-02,298.6,10147,3616960.11,-597879.52,-16.53,121,r3_exit,10824.72
SHRIRAMFIN,2026-01-02,1020.0,2026-04-02,870.2,3293,3358876.28,-503468.9,-14.99,90,rank_exit,10166.48
FORCEMOT,2025-11-04,18591.57,2026-05-04,20103.88,172,3197750.56,248831.13,7.78,181,r2_exit,11284.99
ANURAS,2026-01-02,1327.33,2026-05-04,1348.65,2530,3358134.78,42581.22,1.27,122,universe_exit,11368.5
AUBANK,2026-01-02,1002.93,2026-05-04,1021.68,3349,3358809.06,51420.81,1.53,122,rank_exit,11390.26
