trade_id,ticker,signal_date,exec_date,side,shares,price,gross_value,net_costs,slippage,exit_reason
724,ATGL,2022-08-01,2022-08-02,BUY,353,3208.808865082973,1131577.951422867,1301.4843808289152,1131.5779514226597,
725,ADANIPOWER,2022-08-01,2022-08-02,BUY,17629,64.26419694519042,1131781.7462005615,1301.71877539251,1131.7817462002859,
726,AWL,2022-08-01,2022-08-02,BUY,1571,720.9578621087786,1131493.3080648265,1301.3870282708667,1131.4933080647606,
727,ELECON,2022-08-01,2022-08-02,BUY,6461,175.34000894756971,1131740.0577524956,1301.6708274239209,1131.7400577522349,
728,USHAMART,2022-08-01,2022-08-02,BUY,7944,142.61582525890933,1131808.3075492266,1301.749324927805,1131.8083075492177,
729,LINDEINDIA,2022-08-01,2022-08-02,BUY,312,3626.457865488683,1130324.5295029664,1300.0427576077636,1130.3245295027737,
730,BDL,2022-08-01,2022-08-02,BUY,2843,398.4019516888504,1131525.2234279737,1301.4237357256934,1131.5252234279178,
731,TEJASNET,2022-08-01,2022-08-02,BUY,2371,477.7616634378197,1131641.2627483224,1301.5571983498521,1131.6412627480458,
732,TATAPOWER,2022-08-01,2022-08-02,BUY,5050,224.33549168915746,1131762.4705596857,1301.6966055140365,1131.7624705594499,
733,INDHOTEL,2022-08-01,2022-08-02,BUY,4240,267.1709841708691,1131673.2995849003,1301.5940455172677,1131.6732995845377,
734,HAL,2022-08-01,2022-08-02,BUY,1177,962.4705941707144,1131696.1931457852,1301.6203765466344,1131.696193145588,
735,LINDEINDIA,2022-09-01,2022-09-02,SELL,312,3359.4714557589436,1049204.2984952857,2306.9904115314635,1049.204298495315,rank_exit
736,TEJASNET,2022-09-01,2022-09-02,SELL,2371,666.9327154926136,1582880.3487817687,3480.4373109014064,1582.8803487818222,rank_exit
737,HAL,2022-09-01,2022-09-02,SELL,1177,1105.45122477557,1302418.5100709167,2863.757819944017,1302.418510071002,rank_exit
738,ELGIEQUIP,2022-09-01,2022-09-02,BUY,2651,491.9225274512752,1302783.8364368938,1498.3968294777442,1302.7838364366908,
739,JWL,2022-09-01,2022-09-02,BUY,16404,79.50327065674433,1302868.783070164,1498.4945308482274,1302.8687830700073,
740,ADANIGREEN,2022-09-01,2022-09-02,BUY,537,2427.274947753906,1302144.5024414062,1497.6614994828124,1302.144502441166,
741,TATAELXSI,2022-10-03,2022-10-04,SELL,439,8093.974111862554,3556811.4465542156,7820.717008683686,3556.811446554493,r2_exit
742,KEI,2022-10-03,2022-10-04,SELL,922,1420.4178126952609,1310936.159464495,2882.4864274305673,1310.9361594645306,rank_exit
743,ADANIENSOL,2022-10-03,2022-10-04,SELL,345,3240.756,1119180.0,2460.8529839999346,1119.1799999999348,r2_exit
744,USHAMART,2022-10-03,2022-10-04,SELL,7944,115.64687295973243,919618.3771692838,2022.0568877198987,919.6183771693613,r2_exit
745,TATAPOWER,2022-10-03,2022-10-04,SELL,5050,211.03808347661993,1066809.1306876182,2345.6999165558163,1066.8091306874994,r2_exit
746,ELGIEQUIP,2022-10-03,2022-10-04,SELL,2651,426.35008278679544,1131385.4549227175,2487.690338284268,1131.3854549229145,r2_exit
747,ADANIGREEN,2022-10-03,2022-10-04,SELL,537,2151.846,1156698.0,2543.347562400091,1156.6980000000913,r2_exit
748,CGPOWER,2022-11-01,2022-11-02,SELL,11251,258.5561038975744,2911926.6516032126,6402.744321544543,2911.926651602611,rank_exit
749,SCHAEFFLER,2022-11-01,2022-11-02,SELL,516,2714.7659962754715,1402221.475553697,3083.2045804474706,1402.2214755536988,r2_exit
750,TIMKEN,2022-11-01,2022-11-02,SELL,471,2806.526896899242,1323197.3658053481,2909.4463679327255,1323.1973658052739,rank_exit
751,INDHOTEL,2022-11-01,2022-11-02,SELL,4240,337.63523236083984,1433006.3916015625,3150.8944538535898,1433.006391601637,rank_exit
752,ELGIEQUIP,2022-11-01,2022-11-02,BUY,3233,485.5639625039358,1568260.0307444802,1803.734274360584,1568.2600307441317,
753,MAZDOCK,2022-11-01,2022-11-02,BUY,5109,307.29287620594135,1568390.9136225318,1803.8848093033303,1568.3909136226866,
754,ADANIENT,2022-11-01,2022-11-02,BUY,438,3577.071595502335,1565192.1666633596,1800.205770487897,1565.1921666632406,
755,DEEPAKFERT,2022-11-01,2022-11-02,BUY,1767,888.122760924796,1567745.173380734,1803.142111164052,1567.7451733807102,
756,KPITTECH,2022-11-01,2022-11-02,BUY,2241,700.6097108898459,1568497.864239905,1804.0078185554594,1568.4978642396163,
757,GRSE,2022-11-01,2022-11-02,BUY,3557,441.33358945683784,1568255.3223755967,1803.7288590304088,1568.2553223755676,
758,APARINDS,2022-11-01,2022-11-02,BUY,1115,1407.6394816910488,1567950.072013506,1803.377775326604,1567.9500720135402,
759,TARIL,2022-11-01,2022-11-02,BUY,54977,28.55839351477207,1568486.3139476764,1803.9945339870173,1568.4863139477093,
760,HSCL,2022-11-01,2022-11-02,BUY,15305,102.58542672841838,1568501.4546238198,1804.0119480355643,1568.501454623649,
761,VBL,2022-11-01,2022-11-02,BUY,7136,220.00723352943976,1568403.2152508316,1803.8989580206107,1568.403215250466,
762,TIINDIA,2022-11-01,2022-11-02,BUY,561,2794.3623722708203,1566071.219624306,1801.2168132506777,1566.0712196240202,
763,FLUOROCHEM,2022-12-01,2022-12-02,SELL,566,3468.9889489395705,1965413.1582580549,4321.550452377714,1965.4131582579575,rank_exit
764,PGEL,2022-12-01,2022-12-02,SELL,13498,97.82696294389915,1321790.1359527034,2906.3521509327447,1321.790135952644,rank_exit
765,ADANIPOWER,2022-12-01,2022-12-02,SELL,17629,65.73420304870605,1159988.2537994385,2550.5821724542666,1159.9882537995,r2_exit
766,AWL,2022-12-01,2022-12-02,SELL,1571,645.876200303818,1015687.1978751732,2233.293010687873,1015.6871978751151,r2_exit
767,DEEPAKFERT,2022-12-01,2022-12-02,SELL,1767,773.9523196885584,1368942.691581264,3010.03119024871,1368.942691581091,r2_exit
768,KPITTECH,2022-12-01,2022-12-02,SELL,2241,693.9506010657723,1556699.9969853812,3422.87195337157,1556.699996985495,rank_exit
769,TIINDIA,2022-12-01,2022-12-02,SELL,561,2783.8081350854286,1563279.6434263517,3437.339279965694,1563.2796434261836,rank_exit
770,RHIM,2022-12-01,2022-12-02,BUY,1787,792.1396425661217,1414139.4018637957,1626.4724330538884,1414.1394018637948,
771,RVNL,2022-12-01,2022-12-02,BUY,19612,72.17852884674072,1414151.1565856934,1626.4859527470544,1414.1511565856636,
772,GESHIP,2022-12-01,2022-12-02,BUY,2380,594.6937276969774,1413957.1148040022,1626.2627755918074,1413.9571148038376,
773,HAL,2022-12-01,2022-12-02,BUY,1071,1321.1343768351564,1413521.3961942585,1625.7616338327061,1413.521396194119,
774,RENUKA,2022-12-01,2022-12-02,BUY,24551,57.65759847259521,1414137.562538147,1626.4703175532632,1414.1375625380315,
775,LEMONTREE,2022-12-01,2022-12-02,BUY,14364,98.54844694519042,1414135.7561645508,1626.4682399525773,1414.1357561643235,
776,KARURVYSYA,2022-12-01,2022-12-02,BUY,17739,79.79739758064142,1414111.9237592388,1626.4408291119616,1414.1119237593375,
777,ELGIEQUIP,2023-01-02,2023-01-03,SELL,3233,412.77295870278175,1335830.8062923858,2937.2247768756724,1335.8308062923606,r2_exit
778,TARIL,2023-01-02,2023-01-03,SELL,54977,27.95322734281354,1538322.9025283884,3382.464398079368,1538.3229025283363,rank_exit
779,ATGL,2023-02-01,2023-02-02,SELL,353,1703.6554790039063,601992.3764648438,1323.6608373709391,601.9923764648847,r2_exit
780,ADANIENT,2023-02-01,2023-02-02,SELL,438,2342.2395823820275,1026927.8649482762,2258.008989448165,1026.9278649481712,r2_exit
781,HSCL,2023-02-01,2023-02-02,SELL,15305,88.3788627802883,1353992.4873396521,2977.158681162543,1353.9924873397686,rank_exit
782,RENUKA,2023-02-01,2023-02-02,SELL,24551,47.80214847564697,1174765.312538147,2583.07396920898,1174.7653125382494,r2_exit
783,JWL,2023-03-01,2023-03-02,SELL,16404,101.51126695036994,1666857.6807346032,3665.0866683993545,1666.8576807347126,r2_exit
784,RHIM,2023-03-01,2023-03-02,SELL,1787,638.0677732870911,1141368.4793433752,2509.641012380202,1141.368479343364,r2_exit
785,RVNL,2023-03-01,2023-03-02,SELL,19612,59.4295111331632,1166698.270614211,2565.3361574265746,1166.698270614259,r2_exit
786,GESHIP,2023-03-01,2023-03-02,SELL,2380,499.6218176838335,1190290.2163038275,2617.2101276086914,1190.2902163036633,r2_exit
787,LEMONTREE,2023-03-01,2023-03-02,SELL,14364,78.62129695129394,1130446.7561645508,2485.626327454607,1130.4467561645433,r2_exit
788,MAZDOCK,2023-04-03,2023-04-05,SELL,5109,320.4624471148711,1638881.5238337102,3603.572694605695,1638.881523833843,r2_exit
789,KIRLOSENG,2023-04-03,2023-04-05,BUY,3217,386.1297587348625,1240938.495354698,1427.2654104321264,1240.938495354494,
790,TITAGARH,2023-04-03,2023-04-05,BUY,4468,278.0180228905195,1240943.5826921489,1427.2712616336066,1240.9435826921836,
791,RVNL,2023-04-03,2023-04-05,BUY,16874,73.61921332095469,1241009.5959818077,1427.3471868182532,1241.0095959815662,
792,FINCABLES,2023-04-03,2023-04-05,BUY,1555,798.4636374791006,1240370.5856943072,1426.6122291362844,1240.3705856942106,
793,CIEINDIA,2023-04-03,2023-04-05,BUY,3564,348.5214307892119,1240889.4898429085,1427.209046742646,1240.8894898425788,
794,INDIANB,2023-04-03,2023-04-05,BUY,4689,264.8886992201654,1240822.2883550008,1427.1317549515516,1240.8222883548588,
795,DATAPATTNS,2023-04-03,2023-04-05,BUY,882,1408.0482640344837,1240657.9109674473,1426.942696299171,1240.6579109672457,
796,ANANTRAJ,2023-04-03,2023-04-05,BUY,9937,125.0101401099537,1240984.7774951148,1427.3186418360565,1240.9847774950322,
797,GESHIP,2023-04-03,2023-04-05,BUY,2200,564.4180805282457,1240479.2978642765,1426.7372644385323,1240.479297864018,
798,ACE,2023-04-03,2023-04-05,BUY,3007,413.0478142750765,1240793.9835416134,1427.0992001704872,1240.7939835416619,
799,AEGISLOG,2023-04-03,2023-04-05,BUY,3419,363.29862187368843,1240877.1110750658,1427.1948093029205,1240.8771110749803,
800,CHOICEIN,2023-04-03,2023-04-05,BUY,8709,142.64249999999998,1241032.5,1427.3735298751853,1241.032499999972,
801,BDL,2023-05-02,2023-05-03,SELL,2843,488.3840050240984,1389865.5918753871,3056.036463415491,1389.8655918752775,rank_exit
802,GRSE,2023-05-02,2023-05-03,SELL,3557,485.52750384279494,1728750.0812500718,3801.1756786527967,1728.7500812502112,rank_exit
803,GESHIP,2023-05-02,2023-05-03,SELL,2200,593.3118974640948,1306592.7671881968,2872.936176493303,1306.5927671880927,rank_exit
804,FACT,2023-05-02,2023-05-03,BUY,4201,348.89837487583196,1464257.815038332,1684.1161259661894,1464.2578150380868,
805,UCOBANK,2023-05-02,2023-05-03,BUY,50136,29.241248551609154,1464574.662720756,1684.4805483282544,1464.5746627205517,
806,MAZDOCK,2023-05-02,2023-05-03,BUY,3855,380.2867324633666,1464540.812833445,1684.4416158802342,1464.5408128332347,
807,BLS,2023-06-01,2023-06-02,SELL,13448,181.09689571214804,2437828.882419386,5360.298146663399,2437.8288824190386,rank_exit
808,HAL,2023-06-01,2023-06-02,SELL,1071,1492.7998565621112,1600389.0354134347,3518.935411067133,1600.3890354135074,rank_exit
809,INDIANB,2023-06-01,2023-06-02,SELL,4689,250.564809817859,1176074.4677036444,2585.9525395868286,1176.0744677037,rank_exit
810,AEGISLOG,2023-06-01,2023-06-02,SELL,3419,333.51102889576487,1141415.623418038,2509.744672771367,1141.4156234178226,rank_exit
811,UCOBANK,2023-06-01,2023-06-02,SELL,50136,26.963966402345793,1353218.6381861947,2975.45714164372,1353.2186381861102,r2_exit
812,TARIL,2023-06-01,2023-06-02,BUY,36403,42.18853648757934,1534255.0387186322,1764.6234327822458,1534.2550387184601,
813,JINDALSAW,2023-06-01,2023-06-02,BUY,13014,118.01182700649986,1534271.6450175717,1764.6425325169694,1534.271645017434,
814,NEULANDLAB,2023-06-01,2023-06-02,BUY,557,2757.051698298747,1534143.6523001022,1764.4953216928989,1534.1436522998847,
815,CEMPRO,2023-06-01,2023-06-02,BUY,9376,163.8005154394229,1534259.3733866424,1764.6284183007665,1534.2593733866233,
816,JSL,2023-06-01,2023-06-02,BUY,5295,290.04130462209747,1534234.4735005058,1764.5997796966694,1534.2344735004008,
817,VBL,2023-07-03,2023-07-04,SELL,7136,324.63196472933845,2318892.592901461,5098.7810332721,2318.8925929018296,rank_exit
818,CHOICEIN,2023-07-03,2023-07-04,SELL,8709,177.2225939025879,1544976.5468444824,3397.0944312016327,1544.9765468444675,rank_exit
819,JWL,2023-07-03,2023-07-04,BUY,10567,181.86373875933072,1919834.2931766713,2208.0974122970365,1919.83429317642,
820,JBMA,2023-07-03,2023-07-04,BUY,2770,693.6118562974448,1919385.456487435,2207.581182778813,1919.3854564870708,
821,ELECON,2023-08-01,2023-08-02,SELL,6461,388.29953752443015,2511314.626571915,5521.878600906134,2511.3146265717223,rank_exit
822,KARURVYSYA,2023-08-01,2023-08-02,SELL,17739,100.34383480961046,1781781.0667544345,3917.7802095798156,1781.7810667546,rank_exit
823,CIEINDIA,2023-08-01,2023-08-02,SELL,3564,480.7926319490074,1715260.200466729,3771.5141287862425,1715.2602004667278,rank_exit
824,TARIL,2023-08-01,2023-08-02,SELL,36403,43.42336065329844,1582322.920782806,3479.211638217152,1582.3229207827244,r2_exit
825,CEMPRO,2023-08-01,2023-08-02,SELL,9376,183.56186708261708,1722798.8646312489,3788.0901435509236,1722.7988646309823,rank_exit
826,ZENTEC,2023-08-01,2023-08-02,BUY,2952,628.6355774891374,1853878.3464015322,2132.2381801139563,1853.8783464014996,
827,SUZLON,2023-08-01,2023-08-02,BUY,95810,19.369350381851195,1853923.5365486145,2132.290155561408,1853.923536548391,
