scrip_name,snapshot_frequency,pct_snapshots,mapping_status,symbol,isin,confidence,flags,source_tier
Electrosteel Castings Ltd.,9,15.79,proposed,ELECTCAST,INE086A01029,high,listing_after_first_seen,review_high
KSK Energy Ventures Ltd,9,15.79,unresolved,,,low,no_candidate,unresolved
ABG Shipyard Ltd.,9,15.79,unresolved,,,low,no_candidate,unresolved
Puravankara Projects Ltd.,9,15.79,proposed,PURVA,INE323I01011,medium,name_variant,review_medium
KSB Pumps Ltd.,9,15.79,proposed,KSB,INE999A01023,medium,name_variant,review_medium
State Bank of Travancore,9,15.79,proposed,SBIN,INE062A01020,high,name_variant;concurrent_alias_collision,review_high
Financial Technologies (India) Ltd.,9,15.79,unresolved,,,low,no_candidate,unresolved
Ess Dee Aluminium Ltd.,9,15.79,unresolved,,,low,no_candidate,unresolved
Parsvnath Developer Ltd.,9,15.79,unresolved,,,low,no_candidate,unresolved
Sequent Scientific Ltd.,9,15.79,unresolved,,,low,no_candidate,unresolved
IIFL Holdings Ltd.,9,15.79,unresolved,,,low,no_candidate,unresolved
Westlife Development Ltd.,9,15.79,unresolved,,,low,no_candidate,unresolved
Affle (India) Ltd.,9,15.79,proposed,AFFLE,INE00WC01027,medium,name_variant,review_medium
Spicejet Ltd.,9,15.79,unresolved,,,low,no_candidate,unresolved
Aditya Birla Nuvo Ltd.,8,14.04,proposed,ABCAPITAL,INE674K01013,medium,listing_after_first_seen,review_medium
Shilpi Cable Tech Ltd.,8,14.04,unresolved,,,low,no_candidate,unresolved
Tata Steel BSL Ltd.,8,14.04,proposed,TATASTEEL,INE081A01020,medium,name_variant;concurrent_alias_collision,review_medium
Excel Crop Care Ltd.,7,12.28,unresolved,,,low,no_candidate,unresolved
HMT Ltd.,6,10.53,proposed,HMT,INE262A01018,high,listing_after_first_seen,review_high
Hotel Leela Venture Ltd.,6,10.53,unresolved,,,low,no_candidate,unresolved
Global Offshore Services Ltd.,6,10.53,proposed,DATAMATICS,INE365B01017,medium,first_token_mismatch,review_medium
State Bank of Mysore,6,10.53,proposed,SBIN,INE062A01020,high,name_variant;concurrent_alias_collision,review_high
