symbol,scrip_name,mapping_status,isin,first_seen,last_seen,flags
RUPA,Rupa & Company Ltd.,auto,INE895B01021,2017-09-29,2019-09-27,
RVNL,Rail Vikas Nigam Ltd.,auto,INE415G01027,2019-09-27,2019-09-27,
SADBHIN,Sadbhav Infrastructure Project Ltd.,auto,INE764L01010,2016-04-01,2019-03-29,
SBICARD,SBI Cards and Payment Services Ltd.,auto,INE018E01016,2020-07-31,2020-07-31,
SBILIFE,SBI Life Insurance Company Ltd.,auto,INE123W01016,2018-04-02,2019-09-27,
SBIN,State Bank of Bikaner & Jaipur Ltd.,proposed,INE062A01020,2011-10-10,2017-03-16,name_variant;concurrent_alias_collision
SCHNEIDER,Schneider Electric Infrastructure Ltd.,auto,INE839M01018,2016-01-18,2020-06-26,
SCI,Shipping Corporation of India Ltd.,auto,INE109A01011,1998-08-01,2020-06-26,
SFL,Sheela Foam Ltd.,auto,INE916U01025,2017-06-23,2018-12-28,
SHANKARA,Shankara Building Products Ltd.,auto,INE274V01019,2018-04-02,2019-09-27,
SHANTIGEAR,Shanthi Gears Ltd.,auto,INE631A01022,2002-07-09,2016-04-01,
SHARDACROP,Sharda Cropchem Ltd.,auto,INE221J01015,2016-04-01,2019-09-27,
SHILPAMED,Shilpa Medicare Ltd.,auto,INE790G01031,2016-04-01,2020-06-26,
SHK,S H Kelkar and Company Ltd.,auto,INE500L01026,2016-04-29,2020-06-26,
SHOPERSTOP,Shoppers Stop Ltd.,auto,INE498B01024,2005-09-26,2017-09-29,
SHREECEM,Shree Cement Ltd.,auto,INE070A01015,1998-08-01,2020-03-19,
SIEMENS,Siemens Ltd.,auto,INE003A01024,1998-08-01,2020-06-26,
SIMPLEXINF,Simplex Infrastructures Ltd.,auto,INE059B01024,2006-03-02,2017-03-31,
SJVN,SJVN Ltd.,auto,INE002L01015,2010-10-01,2018-10-26,
SNOWMAN,Snowman Logistics Ltd.,auto,INE734N01019,2016-04-01,2018-04-02,
SOLARINDS,Solar Industries India Ltd.,auto,INE343H01029,2015-03-27,2016-04-01,
SOMANYCERA,Somany Ceramics Ltd.,auto,INE355A01028,2016-04-01,2018-04-02,
SONATSOFTW,Sonata Software Ltd.,auto,INE269A01021,2000-09-03,2020-06-26,
SPANDANA,Spandana Sphoorty Financial Ltd.,auto,INE572J01011,2019-12-27,2019-12-27,
SPARC,Sun Pharma Advanced Research Company Ltd.,auto,INE232I01014,2013-03-07,2019-09-27,
STAR,Strides Pharma Science Ltd.,auto,INE939A01011,2018-09-28,2020-06-26,
STARCEMENT,Star Cement Ltd.,auto,INE460H01021,2017-11-20,2017-11-20,
STLTECH,Sterlite Technologies Ltd.,auto,INE089C01029,2001-12-07,2020-06-26,
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,auto,INE659A01023,1998-08-01,2017-03-31,
SUMICHEM,Sumitomo Chemical India Ltd.,auto,INE258G01013,2020-06-26,2020-06-26,
SUNDARMFIN,Sundaram Finance Ltd.,auto,INE660A01013,1999-02-03,2018-09-28,
SUNPHARMA,Ranbaxy Laboratories Ltd.,proposed,INE044A01036,1998-08-01,2014-11-28,first_token_mismatch;name_mismatch;concurrent_alias_collision;unsourced
SUNTECK,Sunteck Realty Ltd.,auto,INE805D01034,2010-04-08,2019-09-27,
SUNTV,Sun TV Network Ltd.,auto,INE424H01027,2006-09-01,2019-03-29,
SUPRAJIT,Suprajit Engineering Ltd.,auto,INE399C01030,2016-09-30,2019-03-29,
SUPREMEIND,Supreme Industries Ltd.,auto,INE195A01028,1998-08-01,2014-09-19,
SUPREMEINF,Supreme Infrastructure India Ltd.,auto,INE550H01011,2012-09-28,2016-04-01,
SUVEN,Suven Life Sciences Ltd.,auto,INE495B01038,2015-03-27,2020-01-16,
SUZLON,Suzlon Energy Ltd.,auto,INE040H01021,2006-01-19,2020-06-26,
SWARAJENG,Swaraj Engines Ltd.,auto,INE277A01016,1998-08-01,2016-04-01,
SYMPHONY,Symphony Ltd.,auto,INE225D01027,2015-03-27,2016-04-29,
SYNGENE,Syngene International Ltd.,auto,INE398R01022,2016-04-01,2018-04-02,
TASTYBITE,Tasty Bite Eatables Ltd.,auto,INE488B01017,2019-12-27,2019-12-27,
TATACOMM,Tata Communications Ltd.,auto,INE151A01013,1998-08-01,2020-06-26,
TATAINVEST,Tata Investment Corporation Ltd.,auto,INE672A01026,1998-08-01,2017-03-31,
TATAPOWER,Tata Power Co. Ltd.,auto,INE245A01021,1998-08-01,2020-06-26,name_variant
TBZ,Tribhovandas Bhimji Zaveri Ltd.,auto,INE760L01018,2013-04-01,2016-09-30,
TCI,Transport Corporation of India Ltd.,auto,INE688A01022,2016-04-01,2016-04-29,
TCIEXP,TCI Express Ltd.,auto,INE586V01016,2019-09-27,2019-09-27,
TCS,Tata Consultancy Services Ltd.,auto,INE467B01029,2004-12-22,2019-12-27,
TDPOWERSYS,TD Power Systems Ltd.,auto,INE419M01035,2012-04-27,2016-04-01,
TEAMLEASE,Teamlease Services Ltd.,auto,INE985S01024,2018-09-28,2018-09-28,
TECHM,Satyam Computer Services Ltd.,proposed,INE669C01036,1998-08-01,2009-01-12,first_token_mismatch;name_mismatch;listing_after_first_seen;concurrent_alias_collision;unsourced
TECHNOE,Techno Electric & Engineering Company Ltd.,auto,INE285K01026,2019-09-27,2020-06-26,
THERMAX,Thermax Ltd.,auto,INE152A01029,1998-08-01,2020-06-26,
THYROCARE,Thyrocare Technologies Ltd.,auto,INE594H01019,2017-03-31,2017-03-31,
TIMETECHNO,Time Technoplast Ltd.,auto,INE508G01029,2017-09-29,2018-04-02,
TIMKEN,Timken India Ltd.,auto,INE325A01013,1998-08-01,2018-04-02,listing_after_first_seen
TNPL,Tamil Nadu Newsprint & Papers Ltd.,auto,INE107A01015,1998-08-01,2019-09-27,
