trading_date,status,records_extracted,size_bytes,source
2018-01-03,SUCCESS,396,69414,download
2018-01-04,SUCCESS,396,69179,download
2018-01-05,SUCCESS,396,69596,download
2018-01-08,SUCCESS,396,70732,download
2018-01-09,SUCCESS,396,69956,download
2018-01-10,SUCCESS,396,69506,download
2018-01-11,SUCCESS,396,69425,download
2018-01-12,SUCCESS,396,69860,download
2018-01-15,SUCCESS,396,69626,download
2018-01-16,SUCCESS,396,70155,download
2018-01-17,SUCCESS,396,69515,download
2018-01-18,SUCCESS,396,70220,download
2018-01-19,SUCCESS,396,69065,download
2018-01-22,SUCCESS,396,68753,download
2018-01-23,SUCCESS,396,69191,download
2018-01-24,SUCCESS,396,69034,download
2018-01-25,SUCCESS,396,69002,download
2018-01-29,SUCCESS,396,69350,download
2018-01-30,SUCCESS,397,68930,download
2018-01-31,SUCCESS,397,69669,download
2018-02-01,SUCCESS,397,69002,download
2018-02-02,SUCCESS,397,69875,download
2018-02-05,SUCCESS,397,70044,download
2018-02-06,SUCCESS,397,69515,download
2018-02-07,SUCCESS,397,68258,download
2018-02-08,SUCCESS,398,68660,download
2018-02-09,SUCCESS,398,68697,download
2018-02-12,SUCCESS,398,68863,download
2018-02-14,SUCCESS,398,68959,download
2018-02-15,SUCCESS,398,68443,download
2018-02-16,SUCCESS,398,68194,download
2018-02-19,SUCCESS,398,68362,download
2018-02-20,SUCCESS,398,67410,download
2018-02-21,SUCCESS,398,67785,download
2018-02-22,SUCCESS,398,67738,download
2018-02-23,SUCCESS,398,68035,download
2018-02-26,SUCCESS,398,69024,download
2018-02-27,SUCCESS,398,68314,download
2018-02-28,SUCCESS,398,67984,download
2018-03-01,SUCCESS,398,67877,download
2018-03-05,SUCCESS,399,68787,download
2018-03-06,SUCCESS,399,68634,download
2018-03-07,SUCCESS,399,68784,download
2018-03-08,SUCCESS,399,68765,download
2018-03-09,SUCCESS,399,68013,download
2018-03-12,SUCCESS,399,69064,download
2018-03-13,SUCCESS,399,69011,download
2018-03-14,SUCCESS,399,67655,download
2018-03-15,SUCCESS,399,68457,download
2018-03-16,SUCCESS,399,69067,download
2018-03-19,SUCCESS,399,69182,download
2018-03-20,SUCCESS,399,68502,download
2018-03-21,SUCCESS,399,68609,download
2018-03-22,SUCCESS,399,68802,download
2018-03-23,SUCCESS,400,69263,download
2018-03-26,SUCCESS,400,70221,download
2018-03-27,SUCCESS,401,68336,download
2018-03-28,SUCCESS,402,68894,download
2018-04-02,SUCCESS,401,67993,download
2018-04-03,SUCCESS,401,68294,download
2018-04-04,SUCCESS,402,68960,download
2018-04-05,SUCCESS,402,68780,download
2018-04-06,SUCCESS,402,68758,download
2018-04-09,SUCCESS,403,68999,download
2018-04-10,SUCCESS,403,68579,download
2018-04-11,SUCCESS,403,68308,download
2018-04-12,SUCCESS,403,68367,download
2018-04-13,SUCCESS,403,69001,download
2018-04-16,SUCCESS,403,69222,download
2018-04-17,SUCCESS,403,68911,download
2018-04-18,SUCCESS,403,68952,download
2018-04-19,SUCCESS,403,69047,download
2018-04-20,SUCCESS,403,68571,download
2018-04-23,SUCCESS,403,68977,download
2018-04-24,SUCCESS,403,68794,download
2018-04-25,SUCCESS,403,68981,download
2018-04-26,SUCCESS,403,68056,download
2018-04-27,SUCCESS,403,68798,download
2018-04-30,SUCCESS,403,68980,download
2018-05-02,SUCCESS,403,69728,download
2018-05-03,SUCCESS,403,68684,download
2018-05-04,SUCCESS,403,68893,download
2018-05-07,SUCCESS,403,68875,download
2018-05-08,SUCCESS,403,68062,download
2018-05-09,SUCCESS,403,67941,download
2018-05-10,SUCCESS,403,67961,download
2018-05-11,SUCCESS,403,68208,download
2018-05-14,SUCCESS,404,68373,download
2018-05-15,SUCCESS,404,68239,download
2018-05-16,SUCCESS,404,67944,download
2018-05-17,SUCCESS,404,67855,download
2018-05-18,SUCCESS,404,68359,download
2018-05-21,SUCCESS,405,68691,download
2018-05-22,SUCCESS,405,68255,download
2018-05-23,SUCCESS,405,68391,download
2018-05-24,SUCCESS,405,67938,cache_a2
2018-05-25,SUCCESS,405,68000,cache_a2
2018-05-28,SUCCESS,405,68190,cache_a2
2018-05-29,SUCCESS,405,68129,cache_a2
2018-05-30,SUCCESS,405,67802,cache_a2
2018-05-31,SUCCESS,405,67898,cache_a2
2018-06-01,SUCCESS,405,68916,cache_a2
2018-06-04,SUCCESS,405,68678,cache_a2
2018-06-05,SUCCESS,405,68770,cache_a2
2018-06-06,SUCCESS,405,68448,cache_a2
2018-06-07,SUCCESS,405,68401,cache_a2
2018-06-08,SUCCESS,405,68152,download
2018-06-11,SUCCESS,405,68975,download
2018-06-12,SUCCESS,405,68320,download
2018-06-13,SUCCESS,405,68185,download
2018-06-14,SUCCESS,405,67757,download
2018-06-15,SUCCESS,405,68237,download
2018-06-18,SUCCESS,406,67825,download
2018-06-19,SUCCESS,406,68083,download
2018-06-20,SUCCESS,406,67659,download
2018-06-21,SUCCESS,406,67400,download
2018-06-22,SUCCESS,406,67604,download
2018-06-25,SUCCESS,406,67643,download
2018-06-26,SUCCESS,406,67668,download
2018-06-27,SUCCESS,406,68789,download
2018-06-28,SUCCESS,406,67537,download
2018-06-29,SUCCESS,406,68329,download
2018-07-02,SUCCESS,408,67873,download
2018-07-03,SUCCESS,408,67524,download
2018-07-04,SUCCESS,408,67758,download
2018-07-05,SUCCESS,408,67651,download
2018-07-06,SUCCESS,409,67679,download
2018-07-09,SUCCESS,409,68190,download
2018-07-10,SUCCESS,409,67754,download
2018-07-11,SUCCESS,409,68050,download
2018-07-12,SUCCESS,409,68304,download
2018-07-13,SUCCESS,409,67876,download
2018-07-16,SUCCESS,409,68054,download
2018-07-17,SUCCESS,409,68182,download
2018-07-18,SUCCESS,409,67829,download
2018-07-19,SUCCESS,409,68236,download
2018-07-20,SUCCESS,409,67359,download
2018-07-23,SUCCESS,409,67295,download
2018-07-24,SUCCESS,409,68486,download
2018-07-25,SUCCESS,409,68362,download
2018-07-26,SUCCESS,409,68127,download
2018-07-27,SUCCESS,409,67669,download
2018-07-30,SUCCESS,409,68449,download
2018-07-31,SUCCESS,409,67896,download
2018-08-01,SUCCESS,409,68477,download
2018-08-02,SUCCESS,409,69136,download
2018-08-03,SUCCESS,409,69170,download
2018-08-06,SUCCESS,410,69859,download
